,Voltage(V),Current (pA),photonsPerSecond (#photons/s)
0,32,83.5,1105386016.8309572
1,31,80.4,1064318223.7799509
2,30,77.2,1021925663.2111701
3,29,74.0,979533102.6423893
4,28,70.8,937140542.0736086
5,27,67.6,894747981.5048277
6,26,64.3,851030653.4182727
7,25,61.0,807313325.3317177
8,24,57.8,764920764.7629368
9,23,54.5,721203436.6763818
10,22,51.1,676161341.0720522
11,21,47.8,632444012.9854971
12,20,44.5,588726684.8989421
13,19,41.1,543684589.2946125
14,18,37.7,498642493.6902832
15,17,34.4,454925165.603728
16,16,31.1,411207837.51717293
17,15,27.7,366165741.91284335
18,14,24.4,322448413.82628834
19,13,21.2,280055853.25750756
20,12,18.0,237663292.6887269
21,11,15.0,197920267.15549496
22,10,12.1,159502009.14003742
23,9,9.3,122408518.64235431
24,8,7.0,91938865.73354317
25,7,5.0,65443515.37805523
26,6,3.3,42922467.575890474
27,5,1.0,12452814.667079333
